name,description,Suit,Number,AlchemicalPower,Rarity,Arcanum
Ten of Swords,"This is both the destruction of your paradigm and the foundation of a new one. You sit centered knowing that everything you thought you knew was, in fact, untrue. Now you have the tools and laser-sharp focus to build a new standard based in Truth. Clouded judgement may still be around you in the form of family or friends, but you are clearly zeroed in on your direction. Your thoughts have elevated to higher octaves of consciousness and you’re equipped to attain new spiritual heights.",Swords,Ten,1,40,The Minor Arcana
Child of Swords,"This card represents returning to the innocence in our thoughts, keeping them pristine and being impeccable with our words. To have impeccability with our words, we must command impeccable thoughts. Adding a touch of wonder and remembering that even though we are fiercely smart, we didn’t become this way because we believe ourselves to be omnipotent. We arrived through our childlike innocence that has allowed us to wonder and learn anew. Forget everything you think you know, be verily curious and watch the secrets of the world unfold for you.",Swords,Child,2,12,The Royal Arcana
Knight of Swords,"The plans have been put in motion and this is a time for action! Carpe momentum temporis! Make haste, come in and claim what is rightfully yours! This is not a time to mull it over and over. Instead, go directly to your spirit, rely on your body's intelligence to decide, as your vessel knows instinctively what Truth truly 74 is. Trust your instincts as they are precise. Speed journal if needed to access this inner wisdom.",Swords,Knight,2,12,The Royal Arcana
Queen of Swords,"Know that you have the backing of this card to allow you to express your clear boundaries. Even if you must use clear and direct communication, do not feel fettered to hold back what you must express. Ensure that you are, in fact, aligned with non-biased judgement and have done your best to seek to understand. Speak your words of Truth, even if your voice shakes…",Swords,Queen,2,12,The Royal Arcana
King of Swords,"It’s time to claim the throne of your own authority. You have the intellect, wisdom and the clear mind needed to wield such power. You have carefully set out your methodology due to the wisdom you have gained via dominion of your thoughts. Now you can walk with this sovereign mastery. Creating 75 a new routine that exalts this aspect of self may be beneficial at this time.",Swords,King,2,12,The Royal Arcana
Ace of Coins,"New business ideas and opportunities are near, possibly in real estate or finance. You’re in the dreaming phase of this idea and it’s important to note that what is dreamt up here sets a precedent for the manifestation to come to fruition. Dream BIG! Dream up all the possible factors and indulge in the bliss of them all right now. Then, just as quickly as they came in, let them all go and allow this Divine Construct to deliver with all the details filled in. Focus on the end goal and big picture, forget the small details. Trust.",Coins,Ace,1,40,The Minor Arcana
Two of Coins,"Even in the face of multiple different projects taking life in different directions, you are doing a fine job at balancing and juggling them. Multitasking comes with ease and flow as represented by two distinct coins aligned at their apex, illuminated individually and joined in perfect balance by your awareness. However, it’s a reminder to not take on too much, as the balance is delicate. Emphasis is on self-care to maintain this split focus.",Coins,Two,1,40,The Minor Arcana
Three of Coins,"Cultivate your creative side to add some extra fire and momentum to your business. Brainstorm creative, out-of-the-box ways to improve and innovate. Consult your network, perhaps friends and family, or even hire a third party to help or strategize new ways that can exalt your endeavors. If you are not involved in business, this pertains to your living situation, perhaps rearranging your furniture 77 according to Feng Shui or something equally creative.",Coins,Three,1,40,The Minor Arcana
Four of Coins,"You have attained a steady flow of abundance, be it monetary or in assets by having a single pointed focus on your goals and values. Congrats! Now is a proper time to reflect on any scarcity mindset beliefs that may still be hiding deep within the subconscious. Take this time to alchemize these beliefs now so you can broaden your base of stability from deep within. Conversely, you may be putting too much emphasis and importance on currency in the 3D realm of “money.” Can you find a higher Source of abundance?",Coins,Four,1,40,The Minor Arcana
Five of Coins,"Have you seen some more animalistic responses from yourself lately that seem out of character? You may be under a lot of stress and sometimes that makes us cling to our resources whether that’s money or our creature comforts. Just 78 know that this Divine Construct is waiting to give you anything you could ever dream of and that the sun is still shining, even in the perceived darkness. Come back to the warmth of Source...breathe in the sunlight.",Coins,Five,1,40,The Minor Arcana
Six of Coins,"You have found yourself in a time of benevolence and charity that has come from building your own fortress first. You are safe and secure and now you can express your generosity in ways that allow you to continue to maintain the balance of meeting your needs and the desire to give. Beware of allowing this behavior to take away the protections and safety that you have in place for yourself, you will no longer be in balance and alignment with this generosity.",Coins,Six,1,40,The Minor Arcana
Seven of Coins,"If there is a card that represents no action in this tarot, this is it. Do not trade, do not make investments, do not rework your business 79 model, just take a breath and wait and see. Everything is still up in the air! You need to honor the exhale of this situation and just let go. Rest, self-care, focus on anything but the thing in question, it’s too early to tell.",Coins,Seven,1,40,The Minor Arcana
Eight of Coins,"This card is full of alchemical sigils and a scrying mirror at the top reserved exclusively for our own consciousness to peer through. By the sheer focus of our aligned actions and mind, we have many fruits materializing into existence. We are in a powerful state here and it has come from within our own desires and actions birthed from crystal clear intention.",Coins,Eight,1,40,The Minor Arcana
Nine of Coins,"You have worked extremely hard and attained a level of success, but at what cost? The remnants of your memories sharing successes with good company have cobwebs on them and you’re left here to celebrate all alone. Reach out and pull 80 in your loved ones and share your wins with them… life is sweeter in the presence of others.",Coins,Nine,1,40,The Minor Arcana
Ten of Coins,"Encoded in the traditional card, we see the Kabbalistic tree of life in the arrangement of the coins, as well as an encode for Master Number 22, The Builder. In our card, we see an artistic interpretation of that with our Master Builder wielding his power over the lower earthly realms, abundance manifested. This card indicates favorable positions, investments, trades or real estate deals. Large sums of money in trust funds or inheritance may also be in the stars. Regardless, open wider to receive your kingdom and be a good steward with such abundance.",Coins,Ten,1,40,The Minor Arcana
Child of Coins,"Take a moment and reevaluate the way you make money. Does it delight your inner child? Does it make you believe in the magick of the universe once again? Does it inspire you 81 towards your highest calling, spiritually? If so, congrats, this card is confirmation you’re on the right path. If it does not, you’re being called to discover how you can redesign your endeavors so that it DOES inspire you to believe and see the magick all around you.",Coins,Child,2,12,The Royal Arcana
Knight of Coins,"The Knight of Coins reminds us that in order to increase our natural abundance, we must first become good stewards of our fortune. This can be done by having a proper plan of what you will do with such abundance. To tap into the natural flow of this construct and aid in attracting more of this bounty, we must choose benevolent ways to be conduits of generosity and service. Rely on your integrity to point you in the ideal direction in order to maximize your impact.",Coins,Knight,3,12,The Royal Arcana
Queen of Coins,"Our Queen of Coins has left behind the shell of her lower self and ego when it comes to 82 directing the power of her fortune. She has risen into a more practical and realistic leader with the foresight to have well-thought-out plans in which to utilize this fortune for the highest good! Your increase in wealth has brought you closer to your highest-self, and away from banal desires. Keep moving through the purity of your heart and feminine side in regard to your fortune.",Coins,Queen,4,12,The Royal Arcana
King of Coins,"In the highest expression of Divine Masculinity, you have called forth your most noble role as protector and provider in this card. The King of Coins has materialized his place in the heavens! His wealth originated with an internal inheritance of all the qualities of Aerthe combined. He has formed a union with Source which is manifest here as a bounty of wealth. Be aware you can select other currencies from the heavens to be paid in as well, that of spiritual clarity and connection to The Divine is the most valuable currency.",Coins,King,5,12,The Royal Arcana
